book_id,country_code,authors,isbn13
38568,US,"[{'author_id': '17059', 'role': ''}]",9780060773755
38562,US,"[{'author_id': '17059', 'role': ''}]",9780060774073
38564,US,"[{'author_id': '21701', 'role': ''}]",9780425209424
39307,US,"[{'author_id': '1356336', 'role': ''}]",9780312940027
23717,US,"[{'author_id': '12948', 'role': ''}]",9781569312063
31761,US,"[{'author_id': '909675', 'role': ''}]",9789875801448
31763,US,"[{'author_id': '1938', 'role': ''}]",9783150071236
4241,US,"[{'author_id': '2918', 'role': ''}]",9781579510022
19052,US,"[{'author_id': '11461', 'role': ''}]",9780738709123
19056,US,"[{'author_id': '3445', 'role': ''}]",9781400078127
19057,US,"[{'author_id': '11466', 'role': ''}]",9780375836671
18603,US,"[{'author_id': '11195', 'role': ''}]",9780743278829
18600,US,"[{'author_id': '11193', 'role': ''}]",9780060730550
43278,US,"[{'author_id': '24365', 'role': ''}]",9780060952433
43273,US,"[{'author_id': '24362', 'role': ''}]",9780060014315
16813,US,"[{'author_id': '10229', 'role': ''}, {'author_id': '3857095', 'role': 'Photographer'}, {'author_id': '6853', 'role': 'Foreword by'}]",9780816639823
34200,US,"[{'author_id': '5158478', 'role': ''}, {'author_id': '19278', 'role': 'Translator'}]",9780892811458
38560,US,"[{'author_id': '1356336', 'role': ''}, {'author_id': '95295', 'role': ''}, {'author_id': '1834164', 'role': ''}, {'author_id': '21698', 'role': ''}]",9781600430015
15676,US,"[{'author_id': '9355', 'role': ''}]",9780425181119
15677,US,"[{'author_id': '7622', 'role': ''}]",9780393321982
15672,US,"[{'author_id': '9693', 'role': 'Author'}, {'author_id': '344522', 'role': 'Introduction'}, {'author_id': '2971291', 'role': 'Translator'}, {'author_id': '134769', 'role': 'Translator'}]",9781590171943
15673,US,"[{'author_id': '6569', 'role': ''}]",9780747569114
15678,US,"[{'author_id': '7540', 'role': ''}]",9780689804441
14069,US,"[{'author_id': '8730', 'role': ''}]",9780345481290
14064,US,"[{'author_id': '8726', 'role': ''}]",9781857988093
14063,US,"[{'author_id': '8725', 'role': 'Adaptor'}]",9780698115675
14060,US,"[{'author_id': '5300', 'role': ''}, {'author_id': '232226', 'role': 'Illustrator'}]",9780064420808
13143,US,"[{'author_id': '3780', 'role': ''}]",9780446608817
13146,US,"[{'author_id': '3780', 'role': ''}]",9780446609326
13769,US,"[{'author_id': '8564', 'role': ''}]",9781421509976
15948,US,"[{'author_id': '2345', 'role': ''}, {'author_id': '754947', 'role': 'Translator'}]",9783453861909
28822,US,"[{'author_id': '15865', 'role': ''}]",9780486202914
37700,US,"[{'author_id': '8164', 'role': ''}, {'author_id': '1407244', 'role': 'Editor'}]",9781551112237
14978,US,"[{'author_id': '9346', 'role': ''}]",9780345475732
14975,US,"[{'author_id': '9343', 'role': ''}]",9780425213971
11535,US,"[{'author_id': '2687', 'role': ''}]",9780380789177
5337,US,"[{'author_id': '239579', 'role': ''}, {'author_id': '3128534', 'role': 'Illustrator'}, {'author_id': '68607', 'role': 'Introduction'}]",9780375759147
5338,US,"[{'author_id': '239579', 'role': ''}, {'author_id': '40641', 'role': 'Annotations'}]",9780140439052
21290,US,"[{'author_id': '879521', 'role': ''}]",9780312333799
21294,US,"[{'author_id': '879521', 'role': ''}]",9780312953966
26384,US,"[{'author_id': '14805', 'role': ''}, {'author_id': '4717091', 'role': 'Translator'}, {'author_id': '7445995', 'role': 'Translator'}]",9780674992023
43459,US,"[{'author_id': '1353301', 'role': ''}]",9780671039943
43457,US,"[{'author_id': '1353301', 'role': ''}]",9780671039950
43456,US,"[{'author_id': '1353301', 'role': ''}]",9781416530817
43455,US,"[{'author_id': '1353301', 'role': ''}]",9780743449021
43454,US,"[{'author_id': '1353301', 'role': ''}]",9780743428675
43451,US,"[{'author_id': '1353301', 'role': ''}]",9788497597463
2701,US,"[{'author_id': '1838', 'role': ''}, {'author_id': '18419', 'role': 'Editor'}]",9780140422344
17994,US,"[{'author_id': '10894', 'role': ''}]",9780385495325
17998,US,"[{'author_id': '10896', 'role': ''}]",9780786856282
28660,US,"[{'author_id': '8591', 'role': ''}]",9780586210697
28664,US,"[{'author_id': '8591', 'role': ''}]",9780006482079
13878,US,"[{'author_id': '8588', 'role': ''}]",9780553588118
13871,US,"[{'author_id': '8588', 'role': ''}, {'author_id': '8621', 'role': 'Artist'}]",9780976401155
13872,US,"[{'author_id': '8622', 'role': ''}]",9780375713347
4424,US,"[{'author_id': '3051', 'role': ''}]",9780316907927
43564,US,"[{'author_id': '24481', 'role': ''}]",9781581807592
33999,US,"[{'author_id': '12793', 'role': ''}, {'author_id': '288012', 'role': 'Introduction'}]",9780486450063
14350,US,"[{'author_id': '947', 'role': ''}, {'author_id': '42267', 'role': 'Editor'}, {'author_id': '487578', 'role': 'Editor'}, {'author_id': '18266', 'role': 'Introduction'}]",9780140714555
14358,US,"[{'author_id': '106', 'role': ''}]",9780440910817
29257,US,"[{'author_id': '14525', 'role': ''}, {'author_id': '1372787', 'role': ''}]",9781593976729
29256,US,"[{'author_id': '14525', 'role': ''}, {'author_id': '1372787', 'role': ''}]",9780553285727
29252,US,"[{'author_id': '14525', 'role': ''}, {'author_id': '1372787', 'role': ''}]",9781400054039
40372,US,"[{'author_id': '10885', 'role': ''}, {'author_id': '651160', 'role': 'Illustrator'}, {'author_id': '20561', 'role': 'Introduction'}, {'author_id': '3866857', 'role': 'Afterword'}]",9780803261839
40376,US,"[{'author_id': '10885', 'role': ''}]",9780345329561
40379,US,"[{'author_id': '10885', 'role': ''}, {'author_id': '2485427', 'role': 'Narrated by'}]",9781400130221
